,Theta,Ln Like,Nu99,Nu98,Nu97,Nu96,Nu95,Nu94,Nu93,Nu92,Nu91,Nu90,Nu89,Nu88,Nu87,Nu86,Nu85,Nu84,Nu83,Nu82,Nu81,Nu80,Nu79,Nu78,Nu77,Nu76,Nu75,Nu74,Nu73,Nu72,Nu71,Nu70,Nu69,Nu68,Nu67,Nu66,Nu65,Nu64,Nu63,Nu62,Nu61,Nu60,Nu59,Nu58,Nu57,Nu56,Nu55,Nu54,Nu53,Nu52,Nu51,Nu50,Nu49,Nu48,Nu47,Nu46,Nu45,Nu44,Nu43,Nu42,Nu41,Nu40,Nu39,Nu38,Nu37,Nu36,Nu35,Nu34,Nu33,Nu32,Nu31,Nu30,Nu29,Nu28,Nu27,Nu26,Nu25,Nu24,Nu23,Nu22,Nu21,Nu20,Nu19,Nu18,Nu17,Nu16,Nu15,Nu14,Nu13,Nu12,Nu11,Nu10,Nu9,Nu8,Nu7,Nu6,Nu5,Nu4,Nu3,Nu2,Nu1,NuAnc,T99,T98,T97,T96,T95,T94,T93,T92,T91,T90,T89,T88,T87,T86,T85,T84,T83,T82,T81,T80,T79,T78,T77,T76,T75,T74,T73,T72,T71,T70,T69,T68,T67,T66,T65,T64,T63,T62,T61,T60,T59,T58,T57,T56,T55,T54,T53,T52,T51,T50,T49,T48,T47,T46,T45,T44,T43,T42,T41,T40,T39,T38,T37,T36,T35,T34,T33,T32,T31,T30,T29,T28,T27,T26,T25,T24,T23,T22,T21,T20,T19,T18,T17,T16,T15,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,Tanc
Replicate50,366.3236206,-104.5653729,2.50661733,1.47364824,2.74678633,2.240211,2.43565621,1.41391462,0.71549949,0.78278599,1.52400055,0.53691809,0.82155798,0.94599176,1.78447797,1.71398429,0.35835314,1.45954746,0.51474298,0.89921745,1.81657945,0.58582239,1.12861662,1.37074341,0.73243063,0.62181425,1.29740769,0.83727744,0.53552663,0.55499598,0.7599898,0.54748729,1.01858143,1.8656993,1.46958998,1.07932635,1.01758242,1.36203864,1.30435572,0.97050524,1.1065186,1.03047047,0.49005653,1.73331234,1.19761113,1.26921695,1.58597663,0.46644839,0.4882681,0.78042717,1.22243605,0.51526194,0.51968472,0.6921463,1.85515782,1.02782793,0.49850245,0.52161642,0.68983129,1.29506544,1.0865413,0.51298288,1.60762742,1.42058851,1.34534836,1.17474713,0.53503648,0.74379778,0.57706194,1.9391843,0.97330203,0.72452783,1.7208836,1.36376692,1.83951846,1.27011545,0.53111187,0.76161395,0.57995659,1.28019973,1.59381679,1.72032001,1.84009104,1.02503297,1.46056149,0.78678449,1.4643416,1.29784908,1.03300806,1.34508012,1.54357874,0.56739186,0.65244107,0.88803234,1.63825639,0.94375759,1.91497276,0.75809923,0.94892851,0.97805372,0.76906286,0.62773167,0.14441024,0.0299619,0.05907412,0.03536232,0.02511007,0.03218192,0.01186608,0.01818421,0.02613182,0.01322878,0.04070804,0.04237408,0.01281759,0.03601102,0.03116955,0.035748,0.01918492,0.03934099,0.01374709,0.03987159,0.03025304,0.01749173,0.01319371,0.03949739,0.02939331,0.04630724,0.02074233,0.02298811,0.02354331,0.01413306,0.02138542,0.01625812,0.04252818,0.02185345,0.0237495,0.01302283,0.04295822,0.0307703,0.01409485,0.01530909,0.02259756,0.02996032,0.02668138,0.02725981,0.02736749,0.02912442,0.01234938,0.03246474,0.0214841,0.04911821,0.04977782,0.0126537,0.02618284,0.03785344,0.01443225,0.02416575,0.03700697,0.02219522,0.02037313,0.03342339,0.01733182,0.01370953,0.03832509,0.02130043,0.04456397,0.04604521,0.04372495,0.02493054,0.01413941,0.02620477,0.01463185,0.01779546,0.01751921,0.03082771,0.02443333,0.04495749,0.04090646,0.01841632,0.0176334,0.03779047,0.0328429,0.02732065,0.03018771,0.04212639,0.02844016,0.01542327,0.04097686,0.04134607,0.03295008,0.01271682,0.0135896,0.03282479,0.02062634,0.01804845,0.02433187,0.03068352,0.04445204,0.02999071,0.03705568,0.03204103
Replicate49,375.9852451,-115.626272,2.61147425,2.33448963,1.1130848,1.10053316,1.05342886,1.70866982,1.6144135,1.09048386,0.71161136,1.99605066,0.52638718,1.21158306,1.03643478,0.67158105,1.84061506,0.50499815,1.07101862,1.80110733,0.80230205,0.93056306,0.87019625,0.79313882,1.19837622,1.08653529,1.01206728,0.89836098,0.83571317,0.52753056,0.75090268,1.26435593,0.72087573,0.70035687,0.79911653,1.39475546,0.92476513,0.90211534,1.67399385,1.80488612,0.66740188,0.46789405,1.51919169,0.52856154,1.45414127,0.64670912,1.71849743,1.01808275,1.57868685,1.54168751,1.69623261,1.18670028,1.22945425,0.66631486,1.85291659,0.77777537,0.78917043,1.03494292,1.32076513,0.461186,1.15961811,0.73193563,0.96320821,0.95107381,0.63124974,1.52199039,0.81048998,0.82172787,0.64658634,0.92802202,0.5356902,0.55488283,0.5394658,0.83049636,1.34078004,1.16182208,0.46417371,0.49735562,1.72036761,0.59666584,1.31265114,1.25127277,1.14866764,0.74364623,1.1392966,1.6195002,1.08372207,0.69322549,1.31935373,1.15358786,1.25116191,0.79574007,1.069828,1.527674,1.47147431,0.58190696,1.44698569,0.58494252,1.11397369,0.70874596,1.87054584,0.5479029,0.14069764,0.01699028,0.01855269,0.03063662,0.02390151,0.01534969,0.0281788,0.01664367,0.01667471,0.02175211,0.01444057,0.02757949,0.02171613,0.01361467,0.03933069,0.01475318,0.0234879,0.04112607,0.0360033,0.01911349,0.0123383,0.01457364,0.02650685,0.02978372,0.02120481,0.0139077,0.01309276,0.0131014,0.0228786,0.04352891,0.02282532,0.01349602,0.0312002,0.0401004,0.0208863,0.03588629,0.01997373,0.02217425,0.03941628,0.01575604,0.02687256,0.03120776,0.01836356,0.01286709,0.02733532,0.01302235,0.01694154,0.01328851,0.0303944,0.04445061,0.02381185,0.04702633,0.02298459,0.04583673,0.02277259,0.03155308,0.02051506,0.04336999,0.04247765,0.02597048,0.04514405,0.02913534,0.0210871,0.01817782,0.03534051,0.03181962,0.02293111,0.02907221,0.02165742,0.01499588,0.03534369,0.01278887,0.02046545,0.01545817,0.04650133,0.01624758,0.02461078,0.03897909,0.02372022,0.03040612,0.03384401,0.03077017,0.01249355,0.01474969,0.02366274,0.04080227,0.0386343,0.04326225,0.04682007,0.01777853,0.0287522,0.01490178,0.01275443,0.03426124,0.02058434,0.01399059,0.01434757,0.03389588,0.02269904,0.04788006
Replicate48,469.3412165,-87.371214,1.06E+00,9.37E+00,6.97E+00,6.75E+00,3.68E+00,1.77E+00,5.36E+00,1.13E+00,1.45E+00,2.30E-01,1.05E+00,1.03E-01,1.23E+00,3.47E-01,4.09E-01,1.14E+00,5.86E-01,5.51E-01,9.14E-01,1.11E+00,5.56E-01,1.05E+00,1.25E+00,5.35E-01,4.95E-01,8.74E-01,1.10E+00,1.04E+00,1.23E+00,1.89E+00,1.52E+00,1.68E+00,8.92E-01,5.88E-01,8.12E-01,6.75E-01,6.18E-01,8.23E-01,1.81E+00,1.13E+00,8.84E-01,1.19E+00,1.17E+00,1.60E+00,1.41E+00,9.46E-01,7.30E-01,6.60E-01,8.54E-01,9.51E-01,6.00E-01,9.01E-01,5.53E-01,5.05E-01,1.76E+00,5.26E-01,1.09E+00,6.19E-01,1.14E+00,7.73E-01,1.21E+00,1.26E+00,9.06E-01,6.60E-01,6.37E-01,4.69E-01,1.02E+00,6.58E-01,1.04E+00,6.87E-01,1.02E+00,9.02E-01,5.78E-01,6.27E-01,5.11E-01,1.35E+00,6.65E-01,9.95E-01,6.51E-01,6.35E-01,1.96E+00,1.03E+00,1.71E+00,5.97E-01,1.39E+00,5.46E-01,1.96E+00,5.67E-01,5.31E-01,1.75E+00,4.92E-01,1.48E+00,1.85E+00,1.30E+00,1.68E+00,9.77E-01,4.84E-01,7.35E-01,5.19E-01,3.26E-01,6.04E-02,5.68E-03,7.41E-02,4.72E-02,2.78E-02,1.02E-02,6.11E-02,2.00E-02,1.13E-02,1.98E-02,1.10E-02,3.38E-02,1.74E-02,2.53E-02,2.63E-02,3.22E-02,2.15E-02,3.07E-02,2.87E-02,1.21E-02,3.41E-02,1.76E-02,3.99E-02,2.59E-02,1.74E-02,1.34E-02,4.44E-02,3.98E-02,2.02E-02,2.37E-02,1.69E-02,1.41E-02,2.62E-02,3.69E-02,2.46E-02,3.28E-02,2.89E-02,2.43E-02,3.04E-02,1.71E-02,4.61E-02,2.40E-02,1.47E-02,1.65E-02,2.47E-02,2.93E-02,2.88E-02,2.08E-02,3.20E-02,1.46E-02,2.25E-02,2.16E-02,1.64E-02,1.80E-02,2.86E-02,2.99E-02,1.84E-02,1.69E-02,2.26E-02,3.78E-02,2.20E-02,2.98E-02,1.25E-02,1.42E-02,3.95E-02,3.89E-02,2.79E-02,1.29E-02,1.97E-02,1.68E-02,2.74E-02,1.45E-02,2.90E-02,2.24E-02,3.32E-02,1.56E-02,4.66E-02,2.87E-02,4.15E-02,3.56E-02,1.94E-02,2.49E-02,4.21E-02,2.20E-02,3.42E-02,1.96E-02,1.46E-02,3.92E-02,1.39E-02,4.59E-02,2.24E-02,3.71E-02,1.35E-02,3.62E-02,4.38E-02,1.35E-02,4.67E-02,1.39E-02,4.28E-02,1.69E-02
Replicate47,361.0316097,-99.83883149,1.28052505,3.65438433,2.19285679,2.39729781,1.72629956,2.44908781,1.23102489,1.29981248,1.36618624,1.94727139,1.96498622,0.66411488,1.0882601,1.61089872,1.42252294,1.82288273,1.39867583,1.65327835,1.06889565,0.62476255,1.10208963,0.68777761,1.5019469,0.6434169,0.38284197,0.78391149,0.4552225,0.75605581,0.38972617,0.84621042,0.46682298,1.04451647,1.88085116,0.58292967,1.10997696,1.31158026,0.84038211,0.48004958,1.66233453,1.33812685,0.65057904,0.73234959,1.36448395,0.91206924,1.40516659,1.22494535,0.84653515,1.52109591,0.89892358,1.41068893,1.61159864,0.70573169,0.63360055,1.1898334,1.09844877,1.81927623,1.23944522,1.86572933,1.2814992,1.29151576,1.86999968,1.54411666,1.62199635,1.81222324,1.03561102,0.70110823,0.77032418,1.48655599,0.67655913,0.90709636,1.67942897,1.86436341,1.12328725,0.7619619,1.04774927,0.68523794,1.82756778,1.13501574,0.89416931,0.48845237,0.60261131,0.54551423,1.37347004,1.87642923,1.40522276,0.53656586,0.85800357,0.47548056,1.03337826,1.14881994,1.64363676,0.92562836,0.53151655,0.82991329,0.61540618,1.24591984,0.61812563,0.82697251,0.76382174,0.55023042,0.02640485,0.14585716,0.01569548,0.02143838,0.01523955,0.04224726,0.01224177,0.01522847,0.01790352,0.0293566,0.01881085,0.01800277,0.03261834,0.02894765,0.01617665,0.01298071,0.01753253,0.01532877,0.02590843,0.01891414,0.02373604,0.03752049,0.01740452,0.0264091,0.05355576,0.01784239,0.04863122,0.02128127,0.04843305,0.0248846,0.04401427,0.01519879,0.02763813,0.03313206,0.02451865,0.03669226,0.02362998,0.01483958,0.01495543,0.04033466,0.04550193,0.01254428,0.02929483,0.03308447,0.04325247,0.01547221,0.04264885,0.03052511,0.04451856,0.02236889,0.01680633,0.02467111,0.03643723,0.02919986,0.03403576,0.01704882,0.04327386,0.04086983,0.01689086,0.0427591,0.01617832,0.0190117,0.01400775,0.02197148,0.02960986,0.0133351,0.01249202,0.03828796,0.02409805,0.02731861,0.0132727,0.04176742,0.01474855,0.01826068,0.01613755,0.02616268,0.01374516,0.0423366,0.01344016,0.01298309,0.02152328,0.02746403,0.04659718,0.03114598,0.04549652,0.03688299,0.02747535,0.03845154,0.03436755,0.02108273,0.03456855,0.02911702,0.02204225,0.01650628,0.01447335,0.03114418,0.01427211,0.0468093,0.03555261,0.03715634
Replicate46,380.6379961,-102.6313325,0.89815413,2.90371697,0.95886554,2.84403692,2.07056488,3.52533832,2.47422238,1.9581752,1.72453968,1.03381332,0.66470075,0.73335488,0.52907363,1.10419453,0.73474056,0.6133123,0.88025008,0.95181922,1.63170987,1.12249265,0.35355014,1.08047282,1.02227031,0.48017173,0.44676484,0.60824737,0.82817754,0.59238831,0.84890918,0.88656709,0.78741866,1.80933263,1.6083841,1.01673947,0.68817689,1.38093175,0.51241447,0.81851184,1.22068696,0.37376518,0.58521173,0.74298638,0.55260365,1.45559287,1.30861021,0.5787154,1.30172069,1.83747075,0.75866052,0.56985767,0.79928499,0.70032979,0.66115263,1.12055034,0.82670834,0.5162566,1.33724708,1.37527983,0.51425005,1.21486737,0.84289025,1.4197603,0.8450157,1.1787197,1.22631409,1.76864421,0.74602974,1.34523232,0.72306168,0.56557464,1.59222123,0.8404411,1.10631454,0.65753493,0.83223013,0.49451412,0.5674927,0.59467385,1.14276032,1.71312169,0.95249552,0.7187822,0.71336973,0.92652953,0.9418694,1.50151588,0.49836431,1.42770759,0.73571357,0.4826199,0.50983781,0.50543805,1.46292472,1.62791627,0.94581689,1.20777186,0.81656131,1.44371014,0.80158231,1.62908062,0.01421323,0.14983239,0.03188328,0.02557154,0.0268155,0.05999717,0.01812861,0.02983656,0.02205723,0.03877172,0.01265386,0.04680997,0.02887233,0.02632274,0.0135175,0.02416052,0.01979787,0.02131576,0.0119197,0.01487585,0.03663063,0.03159695,0.03532115,0.03369835,0.03949237,0.03368379,0.02514828,0.02975083,0.04399308,0.03290503,0.04605869,0.03250708,0.01248454,0.01979863,0.03309688,0.03168296,0.01377062,0.01960846,0.01265293,0.05724463,0.01919888,0.0249273,0.01866673,0.02615471,0.01289516,0.02402315,0.02755927,0.04336308,0.02090415,0.01396668,0.01507153,0.0281419,0.01802284,0.0226677,0.02674547,0.03123826,0.02601604,0.04344821,0.03682866,0.03690839,0.01790135,0.01520584,0.01250966,0.03601907,0.04054506,0.02092467,0.01434218,0.01392037,0.0290753,0.03111674,0.0301485,0.02189699,0.02016893,0.04107664,0.02060591,0.0273218,0.02024654,0.0311995,0.01275312,0.0347488,0.04616207,0.02547576,0.01471526,0.0272653,0.03621487,0.01226595,0.02756535,0.0383852,0.02535476,0.04521727,0.03388512,0.02570348,0.0451456,0.02168173,0.04583747,0.02724901,0.04126124,0.03201594,0.02161885,0.01640678
Replicate45,413.6176562,-90.13227116,0.53824215,2.55657723,1.41021579,9.93025749,9.15581558,3.50980511,2.85442806,1.32949994,2.14947841,1.70879449,0.66833305,0.96391253,0.49006627,0.22683793,0.42887533,0.47404303,0.86731486,0.56984691,0.8479946,1.50422376,0.38669641,1.6399079,0.61873107,0.56034393,0.42594977,0.65706835,1.30380401,1.14445584,0.46126507,1.56837893,0.5535258,1.82776268,1.19870123,0.50472905,1.40639808,0.55153013,1.85561572,0.60948028,0.96739549,1.52866138,0.56544886,0.49037138,1.51885527,1.26391822,0.69093726,0.84593767,0.62318366,1.8318886,0.67004609,1.00402585,0.80667182,0.51605062,1.42260737,0.58814442,1.13735636,0.51989004,1.42087148,0.65723927,1.24866761,0.64032409,0.52365501,1.55808783,1.57178979,1.81683346,1.94779287,0.49493616,0.75212905,1.88931164,1.01264466,1.54558245,0.75698674,1.49303516,0.66290884,1.06036447,0.66847133,1.49961403,1.02270184,1.14476628,1.46270355,0.64359413,0.83122683,1.20224119,0.50289059,0.6092682,0.97508946,1.8465501,0.92138149,1.33551213,1.57720916,0.60723893,1.16591341,1.65944204,0.83025911,1.37397654,1.78711574,0.84649411,0.82649589,0.60587627,0.50356661,0.82422545,0.01375849,0.04995392,0.01341408,0.07134475,0.06468975,0.0213391,0.02261146,0.01070395,0.0245511,0.02637195,0.01991637,0.01115535,0.03524708,0.02994772,0.01444203,0.01305151,0.02045903,0.03960335,0.01478333,0.01230606,0.04116627,0.01701994,0.02340496,0.01339856,0.03593578,0.02113546,0.02669308,0.02668549,0.02080237,0.0188813,0.04593518,0.02492781,0.01231996,0.01315953,0.02396786,0.01948599,0.04243653,0.0401437,0.02933319,0.03689843,0.04539662,0.02151839,0.04481762,0.01231809,0.01436643,0.01350369,0.02632782,0.01643798,0.02131487,0.03017441,0.01493309,0.02920326,0.02555588,0.04640931,0.03770573,0.04101118,0.01234653,0.0147393,0.0170675,0.0162423,0.01272205,0.01334647,0.02976602,0.01830347,0.02809054,0.0382853,0.047413,0.03147426,0.01779508,0.01423897,0.02072863,0.04129254,0.03220757,0.02103665,0.02885054,0.02099301,0.0259904,0.01300019,0.01323924,0.03029027,0.02101107,0.01198179,0.0143079,0.01209319,0.01681011,0.03412818,0.02883481,0.0259459,0.04199221,0.04565831,0.01787755,0.01512404,0.0468435,0.03704549,0.02210018,0.01943419,0.03796243,0.04205865,0.01324022,0.04373367
Replicate44,582.907897,-83.75803222,5.06E-01,2.19E+00,5.42E+00,9.99E+00,6.50E+00,4.51E+00,7.08E+00,4.18E+00,2.48E+00,6.08E+00,2.80E+00,2.37E+00,1.59E+00,2.22E+00,1.51E+00,8.99E-01,8.16E-01,4.83E-01,4.46E-02,1.26E+00,8.04E-01,1.25E+00,1.17E+00,1.81E+00,1.29E+00,7.57E-01,6.67E-01,1.25E+00,6.11E-01,7.30E-01,6.17E-01,6.80E-01,1.15E+00,7.27E-01,1.14E+00,1.47E+00,1.95E+00,1.87E+00,2.00E+00,8.26E-01,1.11E+00,1.89E+00,6.02E-01,7.06E-01,9.06E-01,1.34E+00,1.37E+00,1.55E+00,8.80E-01,1.18E+00,9.94E-01,2.00E+00,7.02E-01,1.57E+00,9.26E-01,7.36E-01,1.79E+00,6.71E-01,1.99E+00,7.48E-01,1.68E+00,1.13E+00,1.57E+00,1.36E+00,1.05E+00,5.25E-01,6.23E-01,1.55E+00,1.23E+00,5.55E-01,1.12E+00,5.26E-01,7.62E-01,8.01E-01,9.95E-01,1.55E+00,1.56E+00,1.31E+00,1.92E+00,5.15E-01,7.47E-01,1.20E+00,9.85E-01,5.99E-01,8.90E-01,5.59E-01,1.34E+00,1.29E+00,1.30E+00,1.55E+00,5.35E-01,6.05E-01,6.06E-01,6.87E-01,9.29E-01,1.01E+00,6.65E-01,1.79E+00,5.84E-01,9.77E-01,2.34E-02,2.24E-02,2.48E-02,3.23E-02,2.86E-02,1.75E-02,2.66E-02,1.11E-02,6.55E-03,2.22E-02,8.69E-03,8.52E-03,6.62E-03,6.91E-03,7.98E-03,7.64E-03,7.56E-03,7.99E-03,4.07E-02,2.14E-02,4.08E-02,4.57E-02,1.41E-02,1.38E-02,3.05E-02,2.49E-02,1.60E-02,2.70E-02,1.42E-02,1.49E-02,2.35E-02,2.78E-02,2.88E-02,2.75E-02,3.63E-02,1.54E-02,2.92E-02,2.35E-02,1.67E-02,3.55E-02,1.61E-02,1.35E-02,3.06E-02,1.56E-02,2.40E-02,3.90E-02,1.52E-02,1.71E-02,2.55E-02,1.63E-02,3.10E-02,2.78E-02,2.03E-02,3.25E-02,4.14E-02,2.23E-02,2.14E-02,4.10E-02,1.42E-02,3.51E-02,3.51E-02,4.44E-02,2.40E-02,1.71E-02,3.42E-02,2.08E-02,3.60E-02,4.55E-02,4.47E-02,1.49E-02,1.41E-02,2.48E-02,2.31E-02,1.80E-02,4.04E-02,3.43E-02,1.92E-02,3.96E-02,3.25E-02,2.65E-02,2.18E-02,2.15E-02,3.36E-02,4.26E-02,4.19E-02,2.10E-02,4.66E-02,1.56E-02,1.60E-02,2.91E-02,1.29E-02,1.88E-02,1.43E-02,2.20E-02,2.41E-02,4.63E-02,2.62E-02,1.89E-02,2.09E-02,2.04E-02
Replicate43,404.1435346,-99.9738988,1.09796807,3.07443143,2.08902008,1.14383158,1.87264745,1.96676957,1.46356295,1.78250094,1.43228775,1.17722945,0.59260991,0.40594024,0.61215987,0.85182885,0.96290014,0.82360986,0.527467,0.61890562,1.69543122,1.12189301,0.53565095,1.59297061,1.57147363,1.09604284,0.44446458,0.76333659,1.74970346,0.65224019,0.69603473,0.42355604,0.76734308,1.31224844,0.93761245,0.85273736,0.68912155,0.75844345,1.07200657,0.62948798,1.25230281,0.75281888,1.1790259,0.58093847,0.95423128,0.6270522,0.60639758,0.98212639,1.44273075,0.99250569,0.93085655,1.48393654,0.93005831,1.22454129,1.05646961,0.50872372,0.65242259,0.64076628,1.03575605,1.58262512,1.56955183,0.89483682,0.92992716,1.76407714,0.58825907,0.51713666,0.89162505,0.56799843,1.62004338,0.62959421,0.53273409,0.60543335,0.62532777,1.06825055,0.5991166,1.7604251,1.61712379,0.61648061,1.1317063,0.67644844,0.77176701,1.34756713,1.61163093,1.15671484,0.79995391,0.48337705,1.98218841,1.19455424,0.49825117,0.5042887,1.98360258,0.76260738,1.08497717,0.79718411,1.35069958,1.50004297,1.33349022,1.7489572,0.63184348,0.56727164,0.78422709,0.59802403,0.017554,0.12830191,0.02627018,0.0136211,0.01623209,0.01885471,0.02217508,0.04519649,0.04647907,0.0135726,0.03894889,0.04192853,0.03661144,0.02071876,0.01680691,0.01691889,0.0432372,0.02167829,0.03808604,0.02218797,0.0214713,0.02779705,0.01680984,0.02502324,0.0251572,0.02446881,0.01531461,0.01344687,0.01542337,0.04622478,0.01457642,0.03993532,0.02623079,0.02905437,0.03323048,0.02442188,0.01834038,0.04934139,0.03124522,0.02413021,0.0151415,0.02477854,0.01455506,0.03784206,0.01786937,0.03201437,0.01795786,0.03829342,0.02611367,0.0357568,0.03505854,0.04143439,0.03109376,0.0133099,0.03649371,0.0137971,0.02898238,0.01684067,0.01714163,0.01724563,0.01973491,0.01348813,0.02023952,0.03495494,0.01371193,0.01308684,0.03159876,0.01897959,0.02790478,0.01920792,0.02462449,0.01608996,0.0189996,0.01538096,0.02016291,0.01284588,0.04696861,0.01813902,0.02528532,0.03512884,0.02457535,0.03159833,0.01422888,0.03353116,0.01781307,0.02030172,0.01607325,0.01557638,0.0221352,0.01761988,0.02732097,0.0206918,0.0200457,0.01973526,0.03513572,0.01283704,0.0393037,0.03342863,0.0361216,0.04214065
Replicate42,350.3939104,-88.75481495,1.96E+00,8.42E-01,9.01E+00,3.15E+00,9.69E+00,9.63E+00,2.52E+00,3.27E+00,4.16E+00,2.43E+00,1.63E+00,6.76E-01,3.26E-01,1.50E+00,1.05E+00,1.72E-01,1.85E-01,3.34E-01,1.52E+00,3.68E-01,4.68E-01,6.09E-01,1.24E+00,1.60E+00,6.68E-01,1.67E+00,8.87E-01,5.25E-01,1.53E+00,4.21E-01,1.53E+00,7.06E-01,6.43E-01,5.24E-01,8.82E-01,4.89E-01,1.46E+00,1.62E+00,1.04E+00,5.69E-01,7.78E-01,1.44E+00,5.85E-01,4.94E-01,1.22E+00,1.06E+00,1.50E+00,1.39E+00,1.59E+00,1.02E+00,8.90E-01,5.64E-01,1.87E+00,7.23E-01,1.04E+00,8.01E-01,1.03E+00,1.16E+00,9.83E-01,1.65E+00,5.85E-01,9.03E-01,1.14E+00,6.15E-01,1.17E+00,1.75E+00,7.20E-01,5.54E-01,1.59E+00,1.12E+00,9.85E-01,1.27E+00,1.04E+00,1.39E+00,7.72E-01,6.54E-01,1.17E+00,5.15E-01,1.15E+00,1.89E+00,1.43E+00,7.98E-01,1.59E+00,7.42E-01,1.50E+00,1.66E+00,9.57E-01,9.98E-01,8.51E-01,1.64E+00,1.47E+00,8.30E-01,1.73E+00,1.11E+00,8.52E-01,6.54E-01,8.14E-01,9.81E-01,6.82E-01,2.73E+00,5.15E-02,2.45E-02,1.21E-01,7.11E-03,6.59E-02,4.31E-02,1.16E-02,1.68E-02,3.14E-02,1.60E-02,2.25E-02,1.27E-02,2.04E-02,1.37E-02,9.46E-03,2.68E-02,4.28E-02,1.82E-02,1.93E-02,3.08E-02,1.29E-02,1.34E-02,2.65E-02,1.49E-02,1.86E-02,2.56E-02,2.47E-02,2.24E-02,2.29E-02,3.03E-02,3.02E-02,1.63E-02,1.98E-02,1.89E-02,1.34E-02,2.15E-02,1.93E-02,2.16E-02,2.42E-02,1.59E-02,1.26E-02,1.20E-02,3.49E-02,2.40E-02,1.39E-02,2.39E-02,1.29E-02,1.34E-02,2.20E-02,2.40E-02,4.03E-02,4.37E-02,1.18E-02,2.26E-02,1.20E-02,1.92E-02,2.11E-02,2.30E-02,2.69E-02,2.34E-02,2.37E-02,3.96E-02,1.92E-02,3.45E-02,1.90E-02,3.17E-02,3.87E-02,3.26E-02,2.05E-02,1.46E-02,1.41E-02,1.75E-02,1.61E-02,1.62E-02,3.58E-02,1.92E-02,1.23E-02,1.24E-02,4.40E-02,4.01E-02,2.28E-02,3.19E-02,1.87E-02,4.13E-02,3.28E-02,1.28E-02,2.34E-02,3.46E-02,3.71E-02,3.77E-02,4.02E-02,3.46E-02,1.30E-02,2.89E-02,1.32E-02,2.14E-02,2.14E-02,1.56E-02,1.59E-02,4.70E-02
Replicate41,405.2416873,-121.1467525,2.06177125,1.29011344,2.82228345,1.00793582,0.89498356,1.76261079,0.62258848,0.87593221,1.15689593,0.50119087,1.44750064,1.18049396,0.68166467,1.59984599,1.87933902,1.89938789,1.36606118,0.92113793,1.92748593,1.00742996,0.6245651,1.11934295,1.23136081,0.45688545,1.33374318,1.37203314,0.4848819,0.91467884,0.74073494,0.46851494,1.55719109,0.49256489,0.94247802,0.84837153,1.00809331,0.86488629,0.48112732,1.37076871,0.74971963,1.90795268,1.76987081,1.19916193,0.76801366,1.47750854,0.58123291,0.95566131,1.09324312,1.49063864,0.57907776,0.83510242,0.79875267,1.15983376,1.44744106,1.46422585,1.48019761,1.69429658,1.2725705,0.95629191,1.35565831,1.69142541,0.54867405,1.19097303,1.33208181,0.72096633,0.77765223,1.37421701,0.65930779,0.65933601,1.19310659,1.79412765,1.51445271,1.67450484,0.86343773,1.5387394,0.87984721,0.54219746,1.21999048,0.58643914,0.92579507,1.38196577,0.759286,1.80643473,0.91284423,1.02496979,0.89264984,1.60028931,0.50459756,0.72374253,0.75143946,0.62943954,0.53253717,0.63999218,1.31348438,1.29603419,1.68097174,1.52152889,1.16685704,0.74200046,0.66755014,0.76314805,0.05715735,0.03268803,0.09504438,0.03817462,0.01732752,0.01377685,0.03223951,0.01318246,0.04313059,0.03379711,0.04032275,0.02219599,0.02424144,0.02103884,0.03933201,0.02412351,0.02564421,0.01286849,0.01213188,0.02214678,0.04266003,0.02252849,0.01364919,0.03597413,0.01706684,0.04565346,0.01441627,0.01204743,0.03298717,0.01986935,0.03586793,0.01375328,0.02082571,0.0295829,0.01804532,0.0129564,0.04354466,0.04096528,0.03093844,0.0165552,0.01421023,0.01420745,0.01476295,0.02733269,0.02532039,0.02866467,0.02732798,0.0219609,0.04276906,0.03160765,0.04188442,0.02048787,0.03806146,0.02117038,0.02197816,0.0330042,0.01252905,0.01813529,0.02723921,0.01376158,0.0282948,0.02003131,0.0182836,0.01862949,0.02411984,0.013118,0.03744216,0.01337217,0.04116122,0.01335908,0.02539003,0.01977004,0.02724367,0.02064206,0.01610678,0.0165401,0.03280375,0.01833065,0.03905238,0.01934742,0.02076912,0.01387415,0.02524318,0.03881497,0.01583992,0.0130004,0.01762455,0.01466321,0.03226965,0.01631082,0.02320263,0.01734902,0.03221637,0.03537723,0.01866233,0.01825563,0.03624885,0.02891992,0.03369926,0.03004369
