,Theta,Ln Like,Nu99,Nu98,Nu97,Nu96,Nu95,Nu94,Nu93,Nu92,Nu91,Nu90,Nu89,Nu88,Nu87,Nu86,Nu85,Nu84,Nu83,Nu82,Nu81,Nu80,Nu79,Nu78,Nu77,Nu76,Nu75,Nu74,Nu73,Nu72,Nu71,Nu70,Nu69,Nu68,Nu67,Nu66,Nu65,Nu64,Nu63,Nu62,Nu61,Nu60,Nu59,Nu58,Nu57,Nu56,Nu55,Nu54,Nu53,Nu52,Nu51,Nu50,Nu49,Nu48,Nu47,Nu46,Nu45,Nu44,Nu43,Nu42,Nu41,Nu40,Nu39,Nu38,Nu37,Nu36,Nu35,Nu34,Nu33,Nu32,Nu31,Nu30,Nu29,Nu28,Nu27,Nu26,Nu25,Nu24,Nu23,Nu22,Nu21,Nu20,Nu19,Nu18,Nu17,Nu16,Nu15,Nu14,Nu13,Nu12,Nu11,Nu10,Nu9,Nu8,Nu7,Nu6,Nu5,Nu4,Nu3,Nu2,Nu1,NuAnc,T99,T98,T97,T96,T95,T94,T93,T92,T91,T90,T89,T88,T87,T86,T85,T84,T83,T82,T81,T80,T79,T78,T77,T76,T75,T74,T73,T72,T71,T70,T69,T68,T67,T66,T65,T64,T63,T62,T61,T60,T59,T58,T57,T56,T55,T54,T53,T52,T51,T50,T49,T48,T47,T46,T45,T44,T43,T42,T41,T40,T39,T38,T37,T36,T35,T34,T33,T32,T31,T30,T29,T28,T27,T26,T25,T24,T23,T22,T21,T20,T19,T18,T17,T16,T15,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,Tanc
Replicate50,200.3622331,-96.77921707,3.84416082,3.88585728,3.32009581,1.04276698,1.87484063,0.22425578,0.43134156,0.34748499,0.36267623,0.6650701,1.47465127,0.48251127,0.91705482,0.91149872,0.92898003,0.80566904,1.4889818,0.46496674,1.76282147,1.06184953,0.64909127,1.21334276,0.95796568,1.77266264,0.40496446,1.11794826,1.21599473,1.76987573,0.5338134,1.36665886,0.5423773,0.95636683,1.8337943,1.46454568,1.10475378,0.63128389,0.52067694,0.69065386,0.92575058,1.40634069,0.53317208,0.70841912,1.70617802,0.4992082,1.58292686,1.15780843,1.90422972,0.86769115,0.89723703,1.1090121,0.63631849,0.49086883,1.01426432,1.1410635,0.83110924,0.52434115,1.17417039,0.69367899,0.6818772,1.27777597,1.93166673,0.51131864,0.77737417,1.12601328,0.54914257,1.17700365,0.51534391,1.15741135,0.82719423,0.51320771,1.51493721,1.56904291,1.54751369,1.14197986,0.80780574,1.10071136,1.04986495,0.9220197,1.09605165,0.7721736,0.54227444,0.66502021,0.59845759,1.86585765,0.51142869,1.10175354,0.83846668,0.87229837,0.72166776,0.63253432,0.6105191,0.66539179,1.30180674,1.28918791,0.69472954,0.89887356,0.67791786,0.50824747,1.51727753,1.33223192,0.14183066,0.03753855,0.06992957,0.03784432,0.06428554,0.12989459,0.03787684,0.04309323,0.10039177,0.02918835,0.04568608,0.05400406,0.033939,0.0821026,0.09113713,0.08152434,0.02496745,0.07840812,0.05692272,0.07530409,0.04607352,0.04537522,0.0344683,0.02666385,0.06252107,0.02719641,0.0437711,0.04165735,0.08746247,0.05219361,0.07649267,0.06630215,0.03337033,0.04894075,0.07628393,0.08287625,0.0295543,0.02712787,0.02599092,0.05636882,0.05019643,0.06122146,0.03583071,0.03028662,0.08707274,0.06394824,0.07136047,0.08643254,0.03996772,0.07097226,0.06816994,0.03556759,0.07100777,0.04033581,0.03312967,0.03221442,0.03381169,0.08422905,0.04449339,0.07050467,0.02813591,0.08568094,0.06763288,0.03129312,0.04174202,0.0872767,0.03581563,0.06175038,0.03568843,0.02795676,0.05829761,0.04741753,0.03392344,0.08487197,0.09100078,0.0455776,0.05164018,0.05679665,0.05136021,0.06286464,0.06595143,0.04181622,0.04075992,0.05213536,0.04239198,0.09481818,0.05576556,0.04354319,0.03678506,0.04035331,0.06276715,0.07990432,0.05094176,0.02631574,0.02671342,0.03577424,0.05977025,0.0255116,0.06406555,0.08951927
Replicate49,256.8767239,-220.5334405,2.24800641,0.88602912,1.10406068,0.95052867,1.052825,1.07327124,0.37660345,0.74509099,0.72387447,0.41875159,1.23135634,1.57832786,0.47255541,1.18856159,0.81155724,1.3678464,0.7017867,0.65205826,1.76620148,0.53616197,0.52008045,1.07483011,1.45664103,0.77001359,1.32355423,1.3852531,0.85849291,0.63086705,1.09800873,1.22872949,0.93565161,1.65099381,1.11573385,0.64800599,0.55604017,0.62460387,1.304889,0.76576144,1.61307467,1.63332195,0.80774537,0.48787275,1.58534299,0.93282025,0.97789558,0.55638671,1.30273075,1.12534951,1.19105414,1.30359819,1.50310981,0.60112943,1.01702063,0.94081333,0.94108866,0.7163814,1.40868759,0.75668871,1.88615008,0.87827844,1.19933528,0.60230728,1.55422905,0.82498289,1.53329539,1.03346658,0.62194173,0.66122214,1.71199513,1.86868916,1.68753381,1.14544026,1.28966639,1.16826336,1.75739371,0.69276516,0.5100317,1.69441599,1.87209654,0.76461374,1.21857712,1.61772828,0.92333461,1.7294626,0.69556164,0.98658307,1.87584039,1.49360548,1.29513426,1.22695828,0.57202685,1.04288377,0.85156157,0.62757318,1.56246686,0.81224565,0.66031564,0.78187153,0.58312005,0.88781455,0.09634379,0.08131663,0.03159308,0.05845069,0.03052095,0.03523297,0.11232365,0.053532,0.10027686,0.08369683,0.09298367,0.06484284,0.08077969,0.06256021,0.06520218,0.07028356,0.0372757,0.04430415,0.03006082,0.07984775,0.0437702,0.05389322,0.03842431,0.04881495,0.02527259,0.03301296,0.06452505,0.0486812,0.04454926,0.06975467,0.07994576,0.07651657,0.06540885,0.03902402,0.06938287,0.04948354,0.08961473,0.02536353,0.04012488,0.06697111,0.04858106,0.06945413,0.02859891,0.04631121,0.06886318,0.07881193,0.06135815,0.02837436,0.06764988,0.06642924,0.02727585,0.02668264,0.05742664,0.0281772,0.05828606,0.04942715,0.08424012,0.06489944,0.03803637,0.09480021,0.03326767,0.03443228,0.06386129,0.09430219,0.09227008,0.04500312,0.02763287,0.06183176,0.07318997,0.03241021,0.02594002,0.05625563,0.03157737,0.07359715,0.07638333,0.05095556,0.04127746,0.07991673,0.03283698,0.09305718,0.08713774,0.05962923,0.02663987,0.05284534,0.05448556,0.05228064,0.08234142,0.04384316,0.07844036,0.02774203,0.06590589,0.04160604,0.09026888,0.05833893,0.02914593,0.04840737,0.05400584,0.09404836,0.02748224,0.09349909
Replicate48,196.1207017,-135.8199935,2.85605742,2.23557339,3.34312393,1.87353609,1.78603179,1.54623446,0.52720389,0.24002978,0.61371759,0.77348124,0.60363123,1.51390443,1.00158912,1.51190653,0.43624491,1.08578974,1.12630817,0.52914065,0.62328461,0.70529085,1.262494,1.00138519,0.63283632,0.75865849,1.6623035,0.95938608,1.64348511,1.57617278,0.9661088,1.68806264,0.47169862,0.56392454,1.02432498,1.82439507,1.07231261,1.36686749,0.66997814,0.72977678,1.09288686,0.51982153,0.8553123,1.21087086,0.89067665,0.4949666,1.57746074,0.84455271,1.91766445,1.80714318,1.18649852,1.7927711,1.81442501,0.71430445,1.27914745,1.67748175,0.91082907,0.707257,0.69240321,0.53285315,0.89865523,1.59744282,1.7132493,0.60693076,0.57528136,0.73442788,0.62173582,1.65858991,1.31501873,0.84810558,1.25712515,1.41154532,1.90672564,1.79548142,1.21821451,1.04146136,1.06844579,0.60007071,1.14409481,1.73427206,0.79651513,1.12405857,0.59026993,0.57954968,0.81224622,1.06230146,1.45604555,0.59199873,1.52556323,1.14245006,1.89682017,0.55918043,1.09433867,0.98656509,0.6738361,1.99645355,0.9492333,1.66308296,1.84564732,1.54263464,1.45552234,1.06712157,0.12638027,0.09048484,0.06116102,0.0598326,0.02700509,0.05596,0.10918384,0.10177716,0.09276446,0.05459358,0.06167534,0.03267764,0.02733386,0.08487857,0.05568914,0.0438327,0.03555034,0.04839714,0.04322778,0.04133966,0.03020361,0.05963663,0.08775336,0.04275519,0.07518672,0.04504178,0.02847838,0.03325182,0.0443016,0.02830862,0.06572005,0.05514882,0.07145894,0.02604957,0.07189407,0.04570167,0.02676283,0.06720556,0.03478004,0.02850452,0.04267,0.02518383,0.09212532,0.0407908,0.04883703,0.08972126,0.07115622,0.09421405,0.08184343,0.02626389,0.08246298,0.04303383,0.05371583,0.02916059,0.09094386,0.08225454,0.0423307,0.05946247,0.04566934,0.02873862,0.08089138,0.07317808,0.03559726,0.02626394,0.09166816,0.0264765,0.04879371,0.0642292,0.02713082,0.08789503,0.04825541,0.06499031,0.04132639,0.0311513,0.02664811,0.05552266,0.04360043,0.08832475,0.07941909,0.03038616,0.09403421,0.06255831,0.03259942,0.02807569,0.05943044,0.03577693,0.07735717,0.04096442,0.05654635,0.03275875,0.07066647,0.06311633,0.04739408,0.02837905,0.08066631,0.02792362,0.0927727,0.03282132,0.02997768,0.04217494
Replicate47,166.4985857,-156.2072324,4.73299071,2.08584383,1.44413522,1.01130388,1.73715869,1.28784485,1.46392527,1.62111785,0.51726329,0.61580763,0.47129259,1.86627139,1.23599113,1.32110681,1.15011235,1.60998655,0.95533651,1.23903138,0.61495194,0.48505819,0.83013224,0.92260726,1.81707259,0.6830512,0.49702524,0.93066267,1.48445673,1.29600164,1.64448792,1.68032422,1.45959125,0.61235631,1.69026882,0.71603443,1.6743596,0.52252432,0.49565543,1.52235813,1.90476423,0.77434044,0.89081087,1.14071249,1.44125357,0.50102729,1.42062608,0.71295794,1.32652438,0.58011338,0.77946505,0.94904904,1.31662559,0.92364025,1.48119529,1.14796955,1.13237341,0.95448649,0.69363912,1.18261147,0.57814388,1.46948704,1.76384536,0.92918542,1.31686089,1.34764742,1.05320928,1.09696779,0.79183594,1.0938997,0.89877486,0.53332031,0.72552009,1.62584608,0.53225054,1.58167862,1.76133316,1.20513948,1.61531092,1.42040593,1.37768116,1.53759938,0.60098533,1.65721936,0.54221701,0.89527304,1.59704259,0.5229761,0.63839286,0.53916378,1.94857129,0.53855681,1.36729009,0.5134234,1.27114018,1.09357695,0.9123644,1.93453626,1.02173462,0.9820562,1.69323759,0.86173448,0.13364549,0.06398456,0.0567025,0.05217643,0.05925034,0.08141624,0.02475746,0.07300612,0.10460059,0.05513402,0.04800676,0.05570642,0.06953815,0.08195592,0.05876456,0.03029619,0.04829175,0.03943554,0.08894013,0.06416437,0.06323796,0.06843797,0.04019817,0.03584833,0.03866683,0.04443359,0.07312422,0.06785865,0.05833245,0.02900659,0.08152392,0.08041843,0.02772237,0.06185308,0.0399596,0.05262688,0.04956402,0.09474815,0.08738955,0.08178471,0.07795927,0.04353805,0.08000304,0.06115297,0.05548481,0.08614402,0.09137102,0.03022924,0.08793658,0.03926781,0.06558655,0.0939837,0.04085808,0.08728803,0.02557486,0.04219438,0.0330296,0.06909215,0.04891269,0.02860328,0.04923945,0.0540995,0.02569843,0.04528813,0.02639554,0.03564768,0.03869885,0.09892818,0.08892971,0.06989963,0.04071064,0.08666686,0.05057085,0.05252866,0.046591,0.0480217,0.09826479,0.02807452,0.06915676,0.08240384,0.05048769,0.07891513,0.03341541,0.0455266,0.03794147,0.07319519,0.04315298,0.0510654,0.05075088,0.03313463,0.02695293,0.06061051,0.03229633,0.08625958,0.04804167,0.07168945,0.03522534,0.09335241,0.07806269,0.04081785
Replicate46,241.4818358,-296.3800044,1.762309,1.12464519,0.89140481,0.51230836,0.89276386,1.92935205,1.49552695,0.83175794,1.27946569,0.50066335,1.52381852,0.50414159,0.69407057,1.69794835,1.15079071,0.57290937,1.24313915,0.61059834,1.65055392,1.78033798,0.47283375,0.66150097,0.887193,1.78043699,1.00580525,1.23163061,1.63118312,0.83736641,1.08730043,0.45570767,0.90466308,1.70335401,1.42510796,1.88739194,1.71987816,0.74952545,0.60544164,0.61586047,0.70827549,0.62629441,1.07940841,1.06490611,1.01945897,1.92817612,0.79209044,0.73092405,1.42140373,1.60447088,0.69410442,1.42189714,1.10099235,1.03026614,0.65083363,1.83545773,0.5521086,0.66475902,1.03536223,1.76072104,1.21793097,1.76022697,1.57398289,1.12117795,1.00461771,1.30290912,0.55359219,0.84163995,1.71391058,0.75056225,1.24230098,1.32709707,1.82452577,1.3661271,1.34781548,0.84971405,1.37229231,1.44925203,1.42861285,0.63301282,0.54772269,1.26238789,0.78041873,0.98455179,1.45563333,1.24809972,1.50908004,1.55363716,1.50509877,0.66862812,1.46899985,0.51925619,1.67157949,0.82900297,1.67557889,1.72680739,0.51169838,1.33138487,0.93031885,0.71665702,0.53288035,1.7311292,0.10446888,0.04026944,0.04435544,0.03922883,0.02484114,0.07739158,0.05945544,0.04150601,0.04428458,0.07851365,0.0432725,0.03399046,0.03446817,0.06883753,0.08793545,0.06851301,0.08261479,0.07431795,0.03467284,0.02483054,0.04223133,0.0682043,0.0409687,0.06486187,0.03327195,0.08925886,0.0255207,0.06042018,0.0512689,0.09849596,0.06710471,0.04935001,0.07604268,0.07501472,0.04336935,0.02893904,0.08566178,0.08524374,0.03773034,0.03561864,0.09510466,0.02767727,0.04630218,0.03114322,0.06994584,0.04938151,0.09298919,0.02664914,0.02731347,0.05010533,0.06824668,0.03096895,0.04048749,0.02747384,0.03069388,0.0399912,0.04553831,0.02988793,0.04461436,0.03506909,0.02512266,0.09656405,0.03133825,0.07413462,0.04760441,0.03120116,0.0975907,0.03984223,0.02782258,0.04504501,0.06949295,0.02707061,0.03559985,0.0264692,0.05039948,0.03104155,0.04484662,0.04455416,0.09019974,0.05823394,0.02519453,0.05315709,0.09744948,0.04513186,0.03720741,0.03796276,0.03125623,0.0329041,0.03036516,0.07429155,0.09675231,0.067303,0.03709131,0.03097338,0.0532114,0.0707276,0.03165552,0.07814669,0.0513838,0.02501425
Replicate45,227.6075317,-214.5892015,2.84344783,0.84319641,0.48542928,0.60652856,1.0526417,0.60562617,0.91679108,1.55764817,0.99110203,0.55707002,1.32337609,0.68652289,1.63790378,1.62727227,0.63011297,1.6762866,1.27491432,0.88018098,1.01781771,1.90923418,0.48323191,1.30309493,1.34809199,0.48387019,0.82320565,0.74165485,0.50597368,1.02911646,0.50715024,0.58758368,1.83106465,0.94719877,1.62126923,0.50884889,1.23389455,1.27480997,0.52193694,1.93780312,1.96506612,0.96043043,1.24901257,0.85943476,0.50823137,0.9456537,1.31927592,1.70007337,1.09328081,1.34912825,0.58048521,1.05732092,1.0296011,0.50740459,1.73597983,0.58997916,0.50039093,1.65023261,1.78751367,0.66279382,1.3694282,0.76017883,0.70815988,1.78228866,1.97402512,0.94366271,1.06849954,0.625383,1.27319588,1.7499693,1.69730676,0.88754463,1.00288061,1.01162376,1.86792397,0.91033404,1.2514148,0.84858232,1.98610104,0.90711745,1.55965016,1.32229711,0.66187064,1.1530363,1.10003911,0.87060975,1.28384273,1.33267698,1.98658852,1.60358738,1.13649073,1.06923138,0.68374563,1.69417317,0.84271964,1.15072036,1.79385481,1.53114882,1.38832413,0.82141396,0.94040058,1.23725842,0.13140326,0.07844156,0.06978441,0.04644734,0.02506802,0.09924491,0.04471179,0.03197594,0.043076,0.03017639,0.03622012,0.0806583,0.09059251,0.02915779,0.04539987,0.0248922,0.02639541,0.04651523,0.027347,0.03652549,0.04963921,0.05147326,0.07611525,0.03591152,0.02539481,0.03766234,0.03912011,0.04070081,0.05154705,0.06461337,0.06565946,0.0391556,0.02579562,0.06376964,0.03320985,0.03000621,0.02534415,0.07764597,0.0277243,0.06203266,0.0345227,0.04000106,0.03288489,0.0947214,0.08083332,0.07523912,0.05251156,0.02964591,0.03158481,0.08212676,0.03029985,0.06002614,0.05662157,0.07138869,0.03098189,0.0844626,0.04074737,0.0943778,0.04040999,0.05369514,0.0589126,0.09645631,0.07220494,0.04435292,0.07740011,0.06018538,0.0639169,0.08859691,0.03815863,0.02611478,0.04955989,0.09074241,0.04276775,0.09933202,0.09468738,0.03303053,0.03379994,0.02588331,0.03061912,0.07550041,0.06516792,0.07636937,0.03191414,0.09504663,0.0837363,0.02661327,0.02686199,0.06832821,0.05552016,0.02736444,0.04754673,0.03631514,0.04727468,0.06130985,0.03949272,0.03126903,0.08170741,0.03798865,0.03592281,0.02502251
Replicate44,181.4324091,-90.51667785,4.06447111,2.76597908,1.05850105,1.06182259,0.20379934,1.38646978,0.40181804,1.26700035,1.18826148,1.62726491,1.61892173,0.56980629,0.75708819,1.19969839,0.45243413,1.76589699,0.8631078,0.41995407,1.45394507,0.88044783,0.60933824,0.85982704,0.76337364,0.65874788,1.55358291,0.92017293,0.88686496,1.18020773,0.91283783,0.71235441,0.66691759,0.65024077,0.70770172,1.00848866,1.60378311,1.17938615,1.902865,1.13208465,0.97896215,1.17620323,0.63411323,1.63299329,0.98888656,1.42444005,0.87840297,0.5757734,0.69066714,1.87437257,1.4911625,0.63370704,1.81065911,1.04504426,1.31050378,1.44393249,0.57550884,0.54542388,1.54926723,0.59153942,0.50684122,0.54440698,0.7289984,1.27252376,1.37850252,1.07262813,0.71266962,0.77399341,1.67568324,1.30949768,1.49710528,1.12981651,0.5269004,0.69540565,1.98551569,0.92078846,0.7348981,1.68859933,1.00829106,0.74463785,1.12130987,0.98469805,0.51050715,1.34323154,1.14997056,1.10124372,1.47826625,0.50141603,1.45524476,0.52993636,1.67935502,0.68853965,0.80543738,0.69256155,1.34380318,1.8799168,1.73707419,0.72718101,1.47823091,1.02905976,1.56412262,1.60106393,0.17531344,0.16502719,0.0492611,0.07457814,0.18689225,0.03819821,0.05050034,0.06754453,0.07094255,0.08294298,0.04640542,0.11016736,0.06764194,0.08496603,0.04428946,0.04384243,0.05503089,0.05144496,0.05499944,0.04956828,0.10117527,0.04321745,0.02635428,0.02560186,0.05511344,0.0577294,0.04149623,0.03205331,0.04662648,0.03174409,0.03015687,0.05849544,0.03993703,0.06260145,0.05003614,0.06318826,0.08810549,0.07472934,0.05460957,0.04161528,0.02740154,0.03371427,0.028514,0.03624159,0.03578331,0.02821373,0.03325513,0.06091911,0.03127264,0.03990748,0.06300908,0.0423701,0.0619541,0.0589583,0.08256161,0.03759949,0.0505765,0.06259896,0.04218905,0.03042023,0.03333599,0.03530987,0.05389648,0.06135915,0.04805784,0.02558238,0.0528,0.07099836,0.06060102,0.04667795,0.09217837,0.07111259,0.08595,0.0335198,0.07267647,0.08799993,0.04017136,0.06334584,0.06032719,0.05047504,0.02759114,0.06609658,0.03248339,0.06477377,0.0612808,0.05223359,0.07867215,0.02855193,0.03624177,0.02859941,0.04811441,0.04623021,0.05434907,0.02541796,0.08326222,0.0417615,0.0622308,0.09436091,0.063578,0.0879418
Replicate43,184.7468073,-150.4634025,4.40461754,1.15904741,1.11670472,0.81703623,0.58572314,0.48917517,0.68850784,0.5878797,1.09793517,0.91184348,1.81792293,0.54432559,0.4686043,1.16163731,1.530541,0.58455981,1.34344404,1.33386382,1.46401983,1.29786054,1.46938758,0.48661894,1.22163346,0.83794236,1.51128322,1.26946591,0.49270601,1.12302404,0.73567914,1.22243246,0.58580371,1.82126011,0.64721227,1.49522069,1.03186746,1.70008026,0.65874286,0.56904944,1.52981229,1.62038398,0.49783586,0.58667556,0.5612834,1.86975329,0.64547346,1.78808424,1.65905406,1.33410746,1.21520917,0.90680161,1.03619647,1.3495369,0.72416492,0.73383417,1.68760169,1.27142606,1.80191569,0.98756761,0.77593291,1.89858843,1.69264525,1.06172888,0.53513928,1.2789455,0.89665381,1.35154434,0.56001014,1.35562124,1.05552789,1.38594424,1.66075916,0.88017623,1.40541,0.54734889,0.51461138,0.75189561,1.74086805,1.94723872,0.89168636,0.64448786,0.61082911,0.58771418,1.20741408,0.86479066,0.56333672,1.5503778,0.73864296,0.77990072,1.0446109,1.26764639,0.75403538,0.88330632,0.71880394,0.81711441,1.98246069,0.9034876,0.75030357,0.80371592,1.0901097,1.8078729,0.17192619,0.06734956,0.03485058,0.07770432,0.03929037,0.07936854,0.07147821,0.07242019,0.03235448,0.05509505,0.06352661,0.05315929,0.03238229,0.02507176,0.05277109,0.05855161,0.06349803,0.05360853,0.02872539,0.03811404,0.02754854,0.06345284,0.03810896,0.0687033,0.03829863,0.05459072,0.09850895,0.02782798,0.03368656,0.05033892,0.02980623,0.03324673,0.03258564,0.03997362,0.04324769,0.02557594,0.04506306,0.06976404,0.09799499,0.02577921,0.04019697,0.02520113,0.03269553,0.03557548,0.08635225,0.09579166,0.02642673,0.06614131,0.06107853,0.03122831,0.02555924,0.0266763,0.09564566,0.03087636,0.04426207,0.04271168,0.09134345,0.04303505,0.04190917,0.03831996,0.071374,0.04462716,0.04436469,0.03428324,0.02853292,0.06593355,0.02644438,0.03887032,0.08762695,0.06746823,0.02522963,0.03343994,0.08171753,0.03509555,0.06239251,0.03854608,0.07721372,0.02750346,0.07404059,0.03289298,0.06533542,0.06783269,0.03855394,0.06445577,0.02878601,0.03227974,0.03500652,0.02781509,0.0408791,0.02669717,0.04096634,0.0450941,0.03613283,0.09162265,0.02817739,0.08881791,0.0607192,0.0964166,0.0916303,0.03645167
Replicate42,171.7254448,-167.6451676,3.09227102,3.53509638,3.31219319,1.63376915,0.68822302,1.65680993,1.43170688,0.55253341,1.26977031,1.75596602,1.67802369,1.14355138,1.75901098,0.43186346,1.61003292,1.78508465,0.57955671,0.95653182,1.00059392,1.86155434,0.5846549,1.88364352,0.58198945,0.95310061,1.29884653,0.93473191,1.90605287,0.63381801,1.47901588,1.08709168,0.86809743,0.62080303,1.46499688,0.51758072,0.59203507,0.58791618,0.46677665,1.0509829,1.27366046,0.7120221,0.7987527,1.1755162,1.15584958,0.59882359,1.92165132,1.4223107,0.98207334,0.58455136,1.72695331,0.51809707,0.80230074,1.89817909,0.75709737,0.93095175,1.16237041,0.62066636,1.65363535,0.50772509,1.00259144,0.87870958,0.526289,1.14527911,1.22759575,0.97061523,0.50188774,1.57070499,0.66674743,0.74784935,0.64866051,1.55917601,0.78512823,0.65094657,1.58453119,1.15954233,1.30932937,1.0696737,0.90824467,1.94583184,1.34622765,0.5471136,0.56812651,1.39670704,1.02225147,0.8864598,0.83384413,1.59975042,0.82403986,0.57607554,0.6267702,1.04751565,1.51319514,1.92486357,1.24131682,0.60026113,0.80172783,0.99803472,1.39992719,0.5158451,1.30298598,0.64852844,0.13675398,0.04452915,0.09901225,0.03859558,0.06859991,0.04962846,0.03772469,0.09311842,0.06104144,0.04029707,0.07408178,0.04729364,0.0813675,0.09062777,0.03722131,0.03027853,0.05773177,0.09006563,0.06116713,0.03275608,0.06836626,0.06775938,0.09983689,0.03568118,0.02954502,0.09492688,0.06852646,0.04910532,0.04760678,0.02614733,0.03077679,0.04994619,0.05157159,0.06521413,0.0726306,0.05280145,0.07589641,0.09920102,0.06792608,0.04699243,0.05178151,0.03369307,0.0761998,0.04529869,0.06271565,0.08151991,0.04863062,0.02644602,0.02647669,0.03236738,0.03852482,0.0814304,0.02689381,0.04710729,0.03632125,0.03884153,0.09826138,0.0681137,0.07050072,0.09093137,0.04674942,0.08359784,0.03465219,0.07395505,0.0455785,0.02620058,0.02737567,0.09779391,0.09355456,0.06470193,0.06049966,0.07214024,0.06349584,0.02538441,0.05289637,0.02905293,0.04518665,0.03473748,0.02549184,0.056121,0.03095822,0.02804032,0.08325106,0.0426812,0.03420203,0.06552702,0.04756898,0.06832855,0.07011287,0.06338522,0.05378886,0.07334678,0.0425813,0.03257696,0.07006318,0.07569185,0.05118281,0.03637552,0.0361259,0.02569132
Replicate41,168.5156241,-86.41142801,5.21215664,2.44563766,2.6401038,1.83019317,0.86512525,1.28811811,0.48339806,0.42503833,0.23995885,0.74010637,1.00282821,1.3097995,0.49152519,1.67599566,1.39307523,0.64593596,0.66074403,0.25536062,1.3492102,1.7928174,0.83194626,1.14696881,1.78632158,1.44671486,1.7715401,0.43144632,0.92445615,0.64834306,0.85490838,0.42876525,0.64534943,0.79008543,0.67112474,0.51063639,1.32541289,0.54344646,1.12955145,1.08958862,0.53537949,0.89091703,0.91631991,0.52613339,1.28497313,1.82431645,0.66940258,1.83254592,1.24163242,0.75786981,0.63461287,0.54427152,1.12675442,1.0297518,0.67602194,1.22679718,0.52114403,1.63408754,0.6871632,0.59009789,0.65309624,0.89458131,1.71839471,1.46066954,1.16651706,1.70779215,1.42523799,1.44573214,0.64588225,1.64386237,1.07448233,0.58093436,1.40128121,1.90750319,1.46964183,0.51000397,0.68858651,1.92600138,1.18663572,0.98517638,0.83964917,1.01995176,0.67929152,0.61408482,0.62136436,0.76929907,1.261298,1.3069658,1.2539149,0.77469265,1.68340314,0.71767136,0.68328858,0.70864363,0.98409006,1.38036073,0.84266721,0.80284352,0.68011504,0.67778401,1.5269182,1.21590408,0.1958345,0.03748412,0.04694451,0.06759007,0.02684755,0.07713538,0.06131784,0.07039255,0.12348971,0.07249686,0.03856812,0.03267558,0.07636543,0.03424444,0.03052762,0.03202809,0.07246174,0.11963875,0.0532615,0.03080151,0.04389442,0.03038938,0.03137006,0.05305423,0.06526647,0.07029046,0.05006781,0.05032887,0.04715529,0.08719852,0.06421145,0.02543255,0.05269246,0.02900055,0.08310752,0.02777123,0.04242461,0.08877084,0.06558077,0.02814361,0.03346953,0.07491793,0.07492096,0.05036951,0.07548456,0.02566177,0.0381003,0.06921206,0.06866362,0.03521362,0.03068822,0.02786088,0.09506405,0.06680446,0.06012203,0.02862745,0.05747782,0.06593602,0.09060099,0.03615268,0.04528988,0.03694608,0.04544526,0.06762687,0.0732853,0.07827481,0.04725772,0.027379,0.03619927,0.05247701,0.02994511,0.05624788,0.03068837,0.10041529,0.07457404,0.02978535,0.03411661,0.09215129,0.06841594,0.08615539,0.03536692,0.03712055,0.08200073,0.04678873,0.04901758,0.09954013,0.04791004,0.09135355,0.05417127,0.04186749,0.08759398,0.02532348,0.03089919,0.0329866,0.04725225,0.02904333,0.08731124,0.06624997,0.0767389,0.03955507
