,Theta,Ln Like,Nu99,Nu98,Nu97,Nu96,Nu95,Nu94,Nu93,Nu92,Nu91,Nu90,Nu89,Nu88,Nu87,Nu86,Nu85,Nu84,Nu83,Nu82,Nu81,Nu80,Nu79,Nu78,Nu77,Nu76,Nu75,Nu74,Nu73,Nu72,Nu71,Nu70,Nu69,Nu68,Nu67,Nu66,Nu65,Nu64,Nu63,Nu62,Nu61,Nu60,Nu59,Nu58,Nu57,Nu56,Nu55,Nu54,Nu53,Nu52,Nu51,Nu50,Nu49,Nu48,Nu47,Nu46,Nu45,Nu44,Nu43,Nu42,Nu41,Nu40,Nu39,Nu38,Nu37,Nu36,Nu35,Nu34,Nu33,Nu32,Nu31,Nu30,Nu29,Nu28,Nu27,Nu26,Nu25,Nu24,Nu23,Nu22,Nu21,Nu20,Nu19,Nu18,Nu17,Nu16,Nu15,Nu14,Nu13,Nu12,Nu11,Nu10,Nu9,Nu8,Nu7,Nu6,Nu5,Nu4,Nu3,Nu2,Nu1,NuAnc,T99,T98,T97,T96,T95,T94,T93,T92,T91,T90,T89,T88,T87,T86,T85,T84,T83,T82,T81,T80,T79,T78,T77,T76,T75,T74,T73,T72,T71,T70,T69,T68,T67,T66,T65,T64,T63,T62,T61,T60,T59,T58,T57,T56,T55,T54,T53,T52,T51,T50,T49,T48,T47,T46,T45,T44,T43,T42,T41,T40,T39,T38,T37,T36,T35,T34,T33,T32,T31,T30,T29,T28,T27,T26,T25,T24,T23,T22,T21,T20,T19,T18,T17,T16,T15,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,Tanc
Replicate50,293.2112426,-244.8650526,1.97265386,4.50428287,1.16713369,2.260185,1.36379752,1.89285754,0.85578625,1.05034164,1.07127295,0.8835466,1.27843632,1.66474555,0.69187628,0.58335094,1.63018019,0.50114784,1.25730791,1.44549648,0.58767293,0.95929694,0.44625415,0.94299057,0.59985526,0.84333238,0.61958607,0.78777667,1.61801859,0.77139452,1.35794542,0.47551221,0.46067908,0.77358653,0.84369752,0.91458506,1.16628702,1.82352975,0.70165922,0.76812212,1.35515986,0.84983407,0.8231689,1.75733881,0.51413195,0.76048768,0.91823861,0.77911063,0.56436867,0.53155968,1.28983722,0.43338133,0.479213,0.59865784,1.69150626,1.71148894,1.11035656,0.79685751,0.54346101,1.43577297,0.47826908,1.14265658,1.58756605,0.46998229,0.58100911,0.43554827,1.1950747,1.52838569,0.64791824,0.56918305,0.89859737,0.5860546,1.05943388,0.84968865,1.45452583,0.63490329,0.63174556,0.7375018,0.66768235,1.49750589,1.87737353,0.55348151,0.64490647,0.69083591,1.07878185,1.03158125,1.39244373,1.0076022,0.48970909,1.78666397,0.48618951,1.5387383,1.16362646,1.68237887,1.47729144,1.49805726,0.74401036,1.78416953,0.86423959,1.48662096,0.58340769,0.81818992,0.05506744,0.11519874,0.01290089,0.02652667,0.01323318,0.0217028,0.00884539,0.01370634,0.00924616,0.01908977,0.03081788,0.02497606,0.01553265,0.03178254,0.01322971,0.01782721,0.01305556,0.02528782,0.01122386,0.02085054,0.01798228,0.01064962,0.00946387,0.01097252,0.01588696,0.00872014,0.00997948,0.01305289,0.01545906,0.0151703,0.03166402,0.01671392,0.01622302,0.00977566,0.02922471,0.0088755,0.01130683,0.01874371,0.02024386,0.01408873,0.0146836,0.02679319,0.00923399,0.00968587,0.00874865,0.00928743,0.01213278,0.03453224,0.01034237,0.01870596,0.02439306,0.0130934,0.0120002,0.02247662,0.02927419,0.02737198,0.01652213,0.02081489,0.02226494,0.02574367,0.01831973,0.02004598,0.01655848,0.03168321,0.01502529,0.00890878,0.00978622,0.01935093,0.02469838,0.01407348,0.01680883,0.01161738,0.01961138,0.0117827,0.02399419,0.00923327,0.02034506,0.01186925,0.00867045,0.0130217,0.00919648,0.00997556,0.02574424,0.03014146,0.01787768,0.01413245,0.01143845,0.02267987,0.02090749,0.01098665,0.01068041,0.03013742,0.01190216,0.02493011,0.0100737,0.01235292,0.01067195,0.02494152,0.01090567,0.02857447
Replicate49,215.2434072,-180.2797117,1.06E+00,6.08E+00,9.98E+00,3.83E+00,7.32E+00,2.19E+00,1.17E+00,2.88E+00,2.25E+00,1.91E+00,2.41E+00,1.03E+00,8.44E-01,1.62E+00,1.79E+00,1.62E+00,1.75E+00,9.93E-01,7.07E-01,7.71E-01,3.87E-01,1.40E+00,1.11E+00,7.34E-01,9.69E-01,6.56E-01,1.49E+00,4.10E-01,8.45E-01,9.15E-01,1.36E+00,1.26E+00,4.93E-01,5.95E-01,8.54E-01,1.46E+00,1.04E+00,7.92E-01,3.52E-01,6.62E-01,6.18E-01,1.68E+00,1.71E+00,9.88E-01,1.00E+00,8.91E-01,4.63E-01,4.44E-01,5.53E-01,1.65E+00,1.01E+00,4.63E-01,6.35E-01,1.24E+00,1.42E+00,1.03E+00,1.09E+00,9.41E-01,7.91E-01,5.00E-01,4.20E-01,1.16E+00,8.27E-01,6.91E-01,5.47E-01,7.92E-01,7.66E-01,1.81E+00,5.23E-01,5.15E-01,1.36E+00,1.18E+00,1.83E+00,6.62E-01,1.89E+00,1.51E+00,6.40E-01,1.50E+00,1.68E+00,4.78E-01,5.01E-01,1.70E+00,5.55E-01,1.08E+00,1.83E+00,8.08E-01,9.91E-01,4.30E-01,1.47E+00,8.31E-01,1.00E+00,6.89E-01,9.25E-01,6.21E-01,6.62E-01,5.83E-01,5.05E-01,1.45E+00,1.09E+00,7.55E-01,1.64E-02,1.55E-02,1.20E-01,1.41E-02,1.08E-01,1.46E-02,7.33E-03,2.86E-02,1.12E-02,2.28E-02,3.75E-02,2.20E-02,9.13E-03,1.08E-02,2.97E-02,2.81E-02,2.41E-02,8.48E-03,1.24E-02,2.60E-02,2.26E-02,1.83E-02,1.25E-02,1.22E-02,2.62E-02,2.60E-02,1.55E-02,1.07E-02,2.14E-02,1.60E-02,1.12E-02,1.21E-02,1.27E-02,2.84E-02,8.87E-03,1.70E-02,1.83E-02,2.41E-02,1.95E-02,3.06E-02,1.69E-02,2.33E-02,2.05E-02,1.63E-02,9.61E-03,2.75E-02,1.49E-02,1.24E-02,9.81E-03,1.29E-02,9.69E-03,1.69E-02,2.93E-02,2.26E-02,1.97E-02,1.90E-02,1.02E-02,8.28E-03,1.59E-02,8.72E-03,1.95E-02,2.22E-02,8.35E-03,8.76E-03,2.67E-02,1.54E-02,9.66E-03,1.24E-02,1.57E-02,1.25E-02,2.92E-02,1.57E-02,2.04E-02,8.66E-03,2.10E-02,1.27E-02,2.07E-02,1.91E-02,9.01E-03,1.02E-02,9.07E-03,1.67E-02,1.09E-02,9.93E-03,8.48E-03,1.56E-02,2.02E-02,2.92E-02,1.75E-02,1.70E-02,1.47E-02,1.59E-02,2.24E-02,2.50E-02,8.73E-03,1.98E-02,1.89E-02,2.42E-02,1.26E-02,2.71E-02
Replicate48,260.1338164,-119.3401484,3.51346569,1.4010614,7.62428125,3.14530163,3.96927705,2.0154417,2.51111479,1.47116642,1.77149704,1.69530249,1.23048904,1.74270928,1.49845406,2.14764118,1.02295899,0.76196995,1.56919132,1.13412118,0.65612736,0.7293529,1.68052007,0.23633609,1.64989765,1.1157839,1.00771701,0.76109614,0.39877153,0.59206558,0.49639494,0.06328054,0.40592976,1.05423138,0.68245009,0.74063405,0.40734136,1.75917848,1.80997347,1.34342755,1.0539625,0.71293304,1.14667266,1.14684376,0.90640448,1.08373206,0.60458962,1.55270555,1.84318837,1.79694709,1.78729478,0.82202353,0.82171547,0.46133953,1.46695619,1.54948246,0.57457812,0.73247234,1.6399732,0.3770256,0.56882704,0.93049887,1.49835364,1.09381351,1.5943961,1.73658448,0.54298953,0.54435361,1.42132166,1.89691152,0.75816345,0.58650063,0.88774284,1.57015048,0.85512747,1.42635779,1.54899307,1.66896214,1.48529794,0.58237856,1.68348182,0.89633913,1.20746725,0.9937421,1.48225732,1.70162471,0.77126131,0.68780808,1.19489844,0.71467678,0.68670731,1.85969487,1.7557749,1.01854562,1.67693332,1.05178028,1.36497313,0.94736015,1.97521986,0.89494035,0.59317825,0.25267869,0.14306589,0.02210958,0.14695866,0.02006233,0.02537218,0.01170543,0.01576225,0.01121917,0.01927993,0.01950387,0.00928833,0.01236855,0.02552875,0.03041636,0.01461167,0.0236987,0.00926408,0.02831077,0.0250056,0.01051841,0.00961646,0.04414411,0.02286426,0.01547271,0.00958894,0.01167383,0.01662396,0.01272221,0.02159437,0.11848535,0.03508731,0.01916958,0.02706832,0.0107245,0.01489144,0.01233747,0.01501851,0.01146506,0.0145354,0.01018544,0.01341646,0.01892555,0.01721089,0.00935729,0.01089407,0.0129662,0.01225481,0.00911638,0.0111219,0.01227357,0.01771908,0.0197954,0.0231783,0.01442522,0.02845949,0.02390951,0.01107891,0.03055044,0.025137,0.02815258,0.01593057,0.01529899,0.01306266,0.01233303,0.03061919,0.0267577,0.00929093,0.01119731,0.0167027,0.02281706,0.01461054,0.02805259,0.00836652,0.02842219,0.01955476,0.01684564,0.01330065,0.00872329,0.0104661,0.01177226,0.02223318,0.00940812,0.01524825,0.02071171,0.01077032,0.02161327,0.01371928,0.01924685,0.01375259,0.0110798,0.0269581,0.01422288,0.01990771,0.02568821,0.01198435,0.01450823,0.01074054,0.01056823,0.01892794,0.01283462
Replicate47,333.4433834,-260.1565562,8.14E-01,9.72E+00,2.79E+00,1.86E+00,2.13E+00,2.42E+00,3.33E+00,1.82E+00,1.10E+00,6.95E-01,1.91E+00,1.89E+00,1.95E+00,6.41E-01,1.70E+00,8.66E-01,1.45E+00,8.38E-01,1.01E+00,4.74E-01,8.22E-01,1.07E+00,1.34E+00,6.61E-01,1.11E+00,4.02E-01,2.89E-01,1.38E+00,1.07E+00,1.62E+00,3.84E-01,1.36E+00,1.57E+00,6.02E-01,9.75E-01,4.20E-01,3.58E-01,1.61E+00,1.62E+00,1.25E+00,1.04E+00,3.53E-01,1.26E+00,7.44E-01,7.62E-01,4.18E-01,4.12E-01,5.06E-01,1.52E+00,1.54E+00,1.44E+00,8.87E-01,8.90E-01,6.92E-01,1.55E+00,1.01E+00,1.11E+00,1.20E+00,1.40E+00,5.85E-01,1.18E+00,8.57E-01,1.74E+00,1.31E+00,5.06E-01,8.80E-01,1.43E+00,1.14E+00,1.80E+00,1.33E+00,6.54E-01,1.52E+00,1.43E+00,1.44E+00,6.13E-01,9.86E-01,9.77E-01,1.69E+00,1.79E+00,1.12E+00,5.29E-01,6.52E-01,1.17E+00,1.85E+00,7.05E-01,1.96E+00,1.85E+00,1.11E+00,6.97E-01,7.78E-01,5.35E-01,1.58E+00,8.17E-01,1.47E+00,1.40E+00,1.33E+00,6.85E-01,1.05E+00,1.47E+00,2.53E-01,3.25E-02,7.92E-02,3.44E-02,8.31E-03,1.79E-02,1.61E-02,4.88E-02,1.59E-02,1.70E-02,9.52E-03,2.18E-02,1.02E-02,2.48E-02,2.60E-02,1.04E-02,1.27E-02,8.71E-03,3.20E-02,1.03E-02,9.24E-03,9.00E-03,1.08E-02,2.45E-02,1.55E-02,1.17E-02,1.78E-02,4.17E-02,8.43E-03,2.53E-02,1.31E-02,2.55E-02,9.38E-03,2.29E-02,1.71E-02,1.43E-02,1.77E-02,3.28E-02,1.09E-02,1.57E-02,1.90E-02,1.73E-02,3.77E-02,1.88E-02,1.27E-02,1.81E-02,3.42E-02,1.77E-02,8.96E-03,1.21E-02,8.23E-03,1.72E-02,2.65E-02,2.55E-02,1.77E-02,1.86E-02,2.88E-02,1.21E-02,1.10E-02,2.86E-02,1.02E-02,1.10E-02,1.06E-02,8.68E-03,1.42E-02,1.45E-02,1.60E-02,2.52E-02,2.64E-02,2.07E-02,1.88E-02,1.58E-02,1.19E-02,1.24E-02,9.67E-03,1.56E-02,1.92E-02,1.29E-02,1.52E-02,8.86E-03,1.03E-02,1.59E-02,1.65E-02,1.86E-02,2.65E-02,8.92E-03,9.94E-03,1.09E-02,1.43E-02,8.72E-03,2.01E-02,1.90E-02,9.31E-03,2.43E-02,9.58E-03,1.84E-02,1.46E-02,2.87E-02,1.74E-02,9.18E-03,1.62E-02
Replicate46,289.2220875,-245.7448152,2.7935209,1.68974415,2.68089412,2.34014191,2.20030424,1.39180473,1.72415483,1.18349444,1.60445946,2.29046935,1.96930349,0.61853749,1.22444298,0.99625221,1.28549011,0.54658292,0.94463263,1.92337684,0.51235037,1.36013593,0.53076892,1.2050924,1.76018654,1.5787985,1.6280339,0.84092728,0.4611406,0.45990685,1.71347325,0.32432074,0.43134517,0.58196088,0.78692933,0.51846656,0.94024806,0.69466915,1.44186739,1.3417388,1.72858114,1.23073223,1.05916787,0.5672856,0.68291942,1.37501597,0.75061395,1.07115307,0.62482335,1.15876098,1.2583651,0.50817143,0.97034717,0.57811582,1.05954697,0.88215772,1.57793801,0.46078785,1.60933937,0.96318161,0.96049705,1.1627219,1.81246069,0.96191269,1.52620235,0.85358894,1.16081396,0.65723886,1.315629,1.22764968,0.65968903,0.4992436,0.44378854,1.94735953,1.76688146,0.69821204,0.47851822,1.88015045,1.35287366,1.46428287,0.74034649,1.25474169,1.97633679,0.55227623,0.58283416,0.91033967,1.41498423,0.56086718,0.91210837,0.47446492,0.70389649,1.28854139,1.4932708,1.5336049,0.7560526,0.68274442,0.53594291,0.82797702,1.33057837,1.08984044,1.25359517,0.836845,0.10138634,0.06142298,0.0247954,0.01186675,0.01694443,0.01269394,0.02386645,0.01451927,0.01929931,0.02422886,0.02485058,0.00864608,0.0163949,0.01470035,0.01954573,0.01019499,0.01547764,0.00895261,0.01089425,0.01561293,0.00852237,0.01175372,0.01035251,0.02564831,0.01494729,0.03149962,0.03250727,0.01450405,0.01019618,0.03243832,0.01655301,0.03114267,0.02641817,0.01836741,0.00851205,0.00858171,0.02618483,0.01010364,0.02635432,0.01100579,0.00842019,0.01211626,0.02353277,0.02841654,0.02784967,0.023914,0.02322241,0.01547481,0.01572718,0.02124498,0.02058412,0.01654565,0.01030291,0.01471465,0.01363839,0.01438542,0.01148529,0.02259741,0.00890243,0.01488457,0.00975111,0.01292407,0.01077943,0.02174084,0.01033962,0.02420736,0.00918711,0.01996517,0.01983552,0.01215496,0.02743478,0.00828091,0.01029894,0.01495082,0.01838106,0.01140012,0.01184901,0.0164539,0.01377937,0.01452444,0.01235867,0.01936714,0.00924178,0.02654939,0.00978092,0.01628922,0.01797931,0.02791471,0.01700149,0.02488494,0.01244297,0.0113383,0.01054833,0.03033712,0.02241053,0.02601654,0.00913476,0.02752225,0.01212872,0.01519443
Replicate45,280.4337646,-236.0687056,2.48094972,1.79596531,2.46142611,3.14975057,2.27184884,2.14800033,2.02233759,0.95533302,2.29074869,1.88386862,1.47158366,1.00871975,1.64660907,1.99822947,1.11393455,1.41794336,0.76655978,0.60173002,1.83404081,1.96842677,0.53145455,1.22237439,1.7296307,1.77688964,0.59760953,1.58844058,0.74706588,0.95388357,1.82769587,1.09199615,1.24701017,1.74973621,1.6579235,0.47395995,0.47580759,1.33669132,1.5181718,1.23195547,0.93603418,0.47885132,1.48489501,1.13367438,1.21505985,0.65234478,0.4525507,0.7619598,1.44431126,1.10884382,0.46599758,1.38088088,0.56866931,0.54080126,1.71084753,0.73728211,1.61911209,0.57547088,1.25076893,0.85839739,0.65990486,0.70825497,1.40627815,0.72005862,1.39653821,0.51942592,1.80640232,0.82925295,0.47263432,0.44872423,0.91114796,0.47239468,0.74749585,0.78899332,0.66439801,0.953422,0.52875508,0.81906521,1.32825545,0.61528847,0.90551326,1.7211745,0.90697958,1.51869642,1.51565668,0.68703746,1.09972243,0.83394598,1.3407236,0.81598644,1.77898171,0.99140309,0.52894373,0.69716153,0.65978379,1.34980422,1.34335726,0.73979507,0.56479304,1.01448486,1.05886925,0.3601453,0.12407489,0.01204923,0.04405402,0.02320507,0.01566988,0.02158595,0.030778,0.01067606,0.02124841,0.00909226,0.02096514,0.0114231,0.01205449,0.01971483,0.01585442,0.02284975,0.01242905,0.02555478,0.02533692,0.01034612,0.01342762,0.00998886,0.02011722,0.01585128,0.0097427,0.02846126,0.02211107,0.03160767,0.0131645,0.00895667,0.01428902,0.02252231,0.01681793,0.00953586,0.01058889,0.02279292,0.00842013,0.0128915,0.01229153,0.01715665,0.01065111,0.02804168,0.01306304,0.00949757,0.03141764,0.01357926,0.01254039,0.01748883,0.0174422,0.0100264,0.02313121,0.01297162,0.01198157,0.02417063,0.01994037,0.02988877,0.01569698,0.01261252,0.012797,0.01558533,0.01407564,0.02543555,0.02573922,0.02785109,0.01316229,0.02197831,0.02090429,0.03408283,0.02842835,0.01702372,0.01709282,0.02350476,0.02033037,0.00924533,0.0225049,0.00989649,0.02056374,0.01071249,0.01688389,0.00897068,0.0131162,0.01560022,0.03066677,0.01238549,0.01620729,0.01605275,0.03036071,0.02470646,0.01937608,0.00872559,0.03022722,0.02423529,0.02263561,0.02628165,0.0172949,0.01654513,0.01665904,0.01231621,0.00973866,0.02686441
Replicate44,368.3094432,-411.2759051,1.16999938,2.80111193,3.9597672,2.72543342,2.89138212,3.56828876,2.1618933,0.86571134,1.44418131,0.92271707,1.14775389,1.05783255,1.23345067,0.72892672,0.47027788,1.55200408,0.42179909,0.48378472,1.51246797,1.76403357,1.7648116,1.45714284,0.74005217,0.69106433,0.44159899,0.41926969,1.1842852,0.66044586,1.07866839,0.42352344,0.68386337,0.83425418,1.07284935,1.38960871,0.53929479,0.71906108,1.29174407,0.76802628,1.39020429,1.569384,0.68573984,0.58240273,1.68061866,0.47064385,0.82782923,1.72924401,1.09480793,1.42677956,1.50145089,1.75319387,1.27636341,0.53420915,0.71439556,1.22689818,1.78137265,0.47665372,0.90534267,1.86889968,1.50099735,1.38217935,1.86803665,1.14987732,0.96008368,0.75228379,1.85752878,0.57372483,0.4597516,1.47182749,0.90483915,1.24714815,0.52957527,0.65336695,1.45860507,1.4816443,1.61876831,0.49259186,1.10573062,0.59972928,1.89036923,0.80778917,0.78202989,1.23949968,1.27602184,0.57258736,0.61795629,0.69770209,1.16601413,1.26294207,1.0026137,0.54056023,1.02181352,0.98812203,0.81987575,1.58413821,0.55536534,0.76929032,1.93634967,0.74519079,0.64831953,0.82983233,0.1326723,0.00810125,0.01972571,0.00934424,0.01639474,0.04063607,0.02929558,0.00890239,0.02010821,0.01681248,0.02977257,0.02957792,0.0202347,0.02748528,0.03720078,0.01930739,0.0298559,0.01703582,0.01094958,0.00949253,0.01712061,0.01412755,0.00992019,0.02505017,0.03174007,0.02163287,0.02743554,0.01906326,0.02324912,0.01686093,0.03285095,0.02242676,0.02491341,0.00896569,0.02358166,0.01415718,0.02150523,0.01389406,0.02101714,0.02180846,0.00853507,0.02544671,0.01893978,0.02356395,0.01304824,0.0120667,0.02410547,0.01009986,0.02526451,0.0087335,0.0087323,0.00979544,0.01463454,0.02326321,0.02815404,0.00931798,0.01234582,0.01115028,0.01525105,0.01239851,0.01545009,0.00995509,0.03103992,0.02148557,0.02651704,0.01028278,0.02787183,0.02209027,0.02492593,0.02049522,0.01273357,0.03286954,0.00936113,0.01704314,0.02266391,0.01161187,0.01791233,0.02031096,0.01210916,0.01050135,0.00847594,0.02417749,0.01008231,0.02371113,0.02394396,0.01248451,0.01414949,0.02933406,0.02995425,0.01380807,0.02130839,0.01259064,0.01181107,0.02271386,0.01024291,0.01324219,0.02136958,0.01660183,0.0085114,0.01181641
Replicate43,273.2604339,-244.9261838,2.74730122,1.96750091,3.34299959,2.77027309,1.32714576,1.46524228,0.84841697,1.25121191,0.88920042,1.08079489,1.26233084,0.56022399,1.84417565,1.14125313,1.80573212,0.76279327,0.71588039,1.72620845,1.30292045,0.91438392,1.86420947,1.17334646,1.00426289,0.57710712,0.92406738,1.75055656,0.51200544,0.46246582,1.0287664,1.09212766,1.46342696,1.53857673,1.38686382,0.65556831,1.610155,0.47390299,1.07149841,0.94690649,0.77404384,0.99116371,1.56466432,0.65863061,1.1024869,1.59718243,0.60402593,0.60391466,0.87345338,1.47039486,0.57867501,1.05417884,1.86711106,1.76875792,1.36051089,1.24238853,1.47613023,0.90064427,1.66453292,1.81370258,0.92406216,1.34254087,1.08737148,0.49024562,1.05078524,0.55447132,0.83958328,0.69001346,1.87091284,1.05210148,1.06876435,0.76380957,0.80824351,0.66246706,1.10569251,0.66227824,1.09275604,1.14769027,1.7797787,0.77334079,0.92796585,1.66909078,1.04665218,0.6999096,0.5208372,1.22292765,1.5424363,1.06513198,0.55884573,1.22099451,0.61511692,1.70708024,0.91534416,1.895842,0.67635366,0.72681185,0.78974283,0.57463309,1.98156522,1.2215206,0.74851614,0.52154501,0.08486207,0.01846916,0.09694297,0.02371117,0.02781324,0.02262991,0.00871258,0.01826102,0.01077777,0.02183358,0.01350309,0.0083546,0.01229898,0.00957414,0.01463826,0.01389792,0.00862777,0.01592269,0.00892966,0.01341466,0.01987699,0.0141387,0.01066325,0.02963048,0.01127884,0.01955126,0.02327834,0.00888934,0.00892151,0.02671434,0.01007112,0.01490522,0.00896756,0.01699478,0.01321971,0.0127727,0.01534722,0.02410508,0.01435162,0.02110434,0.01962552,0.02358165,0.02159571,0.02414799,0.02065628,0.03364218,0.00902964,0.00979532,0.01072744,0.01805774,0.02104645,0.01937483,0.02211746,0.01687875,0.01428115,0.01734582,0.0226555,0.02348594,0.01677454,0.02215415,0.01714972,0.00933198,0.01125436,0.01913833,0.00945266,0.01513652,0.01563143,0.01113098,0.01780061,0.015028,0.01630492,0.014669,0.01118108,0.00975512,0.01118838,0.01700684,0.02287923,0.00941811,0.01264243,0.02819862,0.02425761,0.01191806,0.01280452,0.01417474,0.01966742,0.01526523,0.01162687,0.02190634,0.01989458,0.02428521,0.0208551,0.01517117,0.02397479,0.00962882,0.01172222,0.0299396,0.01794447,0.0184643,0.02081665,0.02581141
Replicate42,264.4596126,-233.969794,3.40207574,2.46617733,0.95448347,6.19707946,2.83257352,3.64574322,1.23064509,2.60106411,1.92958628,1.71304176,1.50040537,1.25097925,1.45829935,0.72166294,1.30830031,0.73367078,1.26667374,0.89726426,1.53695578,0.72414697,0.39996805,1.84069679,0.35762316,0.50957336,0.73303819,0.52952491,1.36888599,1.11135439,0.50980367,0.79857394,0.33644761,0.79045517,0.80549527,1.42825034,1.86309637,0.81896403,0.9783568,1.47227485,1.40229849,0.6875277,1.10376983,0.98845678,1.0398363,1.70575941,0.93388604,1.76787725,1.24947211,1.23250454,1.30794722,0.54867724,1.27869284,1.14366381,0.38400313,0.70326743,0.48158047,0.54839457,0.6357816,1.64255795,0.89631214,1.02016019,0.44307356,0.76618291,0.78093944,0.57021328,0.51279063,1.03492872,0.71893465,1.0184039,0.91886547,1.21883894,1.10228709,0.81310537,0.97716133,0.94572878,1.13987153,1.57866312,0.96157284,1.38886932,0.61455051,1.63752008,0.68090803,1.0301333,0.50329999,0.66429703,0.76753366,1.02386236,0.78884955,0.89226356,1.43844921,1.47954203,0.88746601,1.36667737,0.83138983,0.88662673,0.49871815,0.84451648,1.20780446,0.57673005,0.87747379,1.42684781,0.04189023,0.0077206,0.01826415,0.08450045,0.02097322,0.04142601,0.01075021,0.03493818,0.01712378,0.03235017,0.01613297,0.03075101,0.02377997,0.01492739,0.01047007,0.01462362,0.02156857,0.00953548,0.01375091,0.02723589,0.0358487,0.01167244,0.03433591,0.01088678,0.0103932,0.0177852,0.01131606,0.01101689,0.01046708,0.02300413,0.03408203,0.0216782,0.01020095,0.01231227,0.00887516,0.02743165,0.00837657,0.02611635,0.00822175,0.01372913,0.00893051,0.01363664,0.02352393,0.01948842,0.02243126,0.01031656,0.01368733,0.0169225,0.0101807,0.02262866,0.00889667,0.020069,0.03019938,0.0108065,0.03500234,0.02880439,0.0120421,0.01609957,0.01174131,0.02850471,0.02237724,0.0095275,0.01234016,0.00928388,0.01457182,0.02944896,0.01021732,0.01126894,0.02815238,0.01905016,0.00914191,0.02063559,0.01847683,0.01246778,0.02759123,0.02532644,0.01656343,0.02440269,0.01089256,0.01729854,0.02310206,0.02090338,0.02219611,0.0153479,0.02763921,0.0092301,0.0290663,0.02000163,0.01544846,0.01025479,0.02047126,0.02657315,0.02806913,0.01514201,0.01182649,0.01857214,0.02904513,0.02970062,0.01090707,0.02767967
Replicate41,259.8873405,-220.6326039,7.96135724,3.17963941,0.74062774,6.18223773,1.5672851,2.18794719,1.54749809,1.19380309,2.00077671,1.38774374,1.34285968,0.83757857,1.94661709,1.06222588,0.50599238,1.37264685,1.37351,0.76864019,0.3812233,0.48264075,0.43539543,1.19208478,0.58312629,1.01489804,1.32702355,0.88526139,0.45478682,1.58109512,0.53812332,1.27010079,0.70754445,0.47569652,1.11021596,1.08080163,0.50402392,1.8601951,0.50702251,0.87984066,1.06286943,0.64633411,0.59350441,0.54297177,0.90101928,1.47368136,0.57500384,1.67200268,1.41456207,1.39107217,1.56066151,0.67772896,0.5711113,0.43860418,0.62591256,0.96244798,1.50712384,1.37441378,1.7213604,0.40956191,0.51265216,1.73191177,0.47006566,0.9396348,1.01451326,0.47820648,1.44526227,1.63617435,1.41658254,0.60844539,0.52153565,1.12912352,1.18137056,1.43819956,1.37975185,0.53241594,0.8353585,0.79577495,1.49889784,0.51936942,1.11255612,0.88431811,0.56780114,1.01185725,0.79587545,0.56538731,1.3897769,0.73416328,0.88840098,0.54606976,1.38746078,1.6176604,0.66170034,0.83512897,0.63286101,1.49678738,0.89527647,0.80560406,0.66590733,0.67578101,1.91964975,0.21651118,0.1307045,0.01283351,0.07438058,0.06430231,0.00976518,0.02060685,0.01559008,0.01235079,0.02388289,0.02411682,0.0274803,0.01301227,0.01155665,0.00954152,0.02368168,0.02960766,0.01145945,0.02889909,0.03667619,0.0325462,0.02658667,0.01036626,0.01085611,0.01518146,0.0191035,0.02739173,0.02013951,0.01594734,0.02823228,0.02120573,0.03158103,0.02015882,0.01490966,0.01248893,0.0150076,0.0105107,0.01661623,0.01095567,0.01103348,0.02119912,0.01528527,0.01475692,0.01858653,0.02866313,0.01221594,0.01904001,0.00944074,0.01554535,0.00928349,0.03159652,0.00889951,0.03184872,0.03047587,0.00976135,0.02744657,0.02797247,0.02584671,0.03489565,0.01283168,0.0096477,0.0185118,0.0087887,0.01429787,0.02692959,0.02389646,0.01667562,0.02610698,0.01538248,0.0095325,0.01685286,0.01040534,0.02243345,0.02027055,0.00963199,0.02277745,0.01073649,0.0134946,0.01051673,0.00942344,0.01940722,0.02503094,0.01865934,0.0137577,0.01945189,0.01600115,0.00924199,0.01082779,0.0244325,0.00850865,0.01017067,0.00865683,0.02942359,0.00935668,0.00921156,0.02445028,0.01800685,0.01680957,0.02690559,0.00907658,0.01304821
